City,State,Area Code
Calgary,AB,403
Calgary,AB,587
Calgary,AB,825
Edmonton,AB,780
Alaska,AK,907
Birmingham,AL,205
Huntsville,AL,256
Huntsville,AL,938
Mobile,AL,251
Montgomery,AL,334
Fort Smith,AR,479
Jonesboro,AR,870
Little Rock,AR,501
American Samoa,AS,684
Mesa,AZ,480
Phoenix,AZ,602
Phoenix,AZ,623
Tucson,AZ,520
Yuma,AZ,928
Kelowna,BC,250
Vancouver,BC,236
Vancouver,BC,604
Vancouver,BC,778
Anaheim,CA,657
Anaheim,CA,714
Bakersfield,CA,661
Concord,CA,925
Fresno,CA,559
Irvine,CA,949
Long Beach,CA,562
Los Angeles,CA,213
Los Angeles,CA,310
Los Angeles,CA,323
Los Angeles,CA,424
Los Angeles,CA,747
Los Angeles,CA,818
Oakland,CA,510
Oceanside,CA,442
Oceanside,CA,760
Oxnard,CA,805
Oxnard,CA,820
Pasadena,CA,626
Redding,CA,530
Riverside,CA,951
Sacramento,CA,279
Sacramento,CA,916
Salinas,CA,831
San Bernardino,CA,909
San Diego,CA,619
San Diego,CA,858
San Francisco,CA,415
San Francisco,CA,628
San Jose,CA,408
San Jose,CA,669
San Mateo,CA,650
Santa Rosa,CA,707
Stockton,CA,209
Colorado Springs,CO,719
Denver,CO,303
Denver,CO,720
Fort Collins,CO,970
Bridgeport,CT,203
Bridgeport,CT,475
Hartford,CT,860
Hartford,CT,959
District of Columbia,DC,202
Delaware,DE,302
Cape Coral,FL,239
Fort Lauderdale,FL,754
Fort Lauderdale,FL,954
Gainesville,FL,352
Jacksonville,FL,904
Lakeland,FL,863
Miami,FL,305
Miami,FL,786
North Port,FL,941
Orlando,FL,321
Orlando,FL,407
Palm Coast,FL,386
Port St. Lucie,FL,772
St. Petersburg,FL,727
Tallahassee,FL,850
Tampa,FL,813
West Palm Beach,FL,561
Albany,GA,229
Atlanta,GA,404
Atlanta,GA,470
Atlanta,GA,678
Augusta,GA,706
Augusta,GA,762
Macon,GA,478
Roswell,GA,770
Savannah,GA,912
Guam,GU,671
Hawaii,HI,808
Cedar Rapids,IA,319
Davenport,IA,563
Des Moines,IA,515
Mason City,IA,641
Sioux City,IA,712
Idaho,ID,208
Idaho,ID,986
Aurora,IL,331
Aurora,IL,630
Belleville,IL,618
Chicago,IL,312
Chicago,IL,773
Chicago,IL,872
Cicero,IL,708
Elgin,IL,224
Elgin,IL,847
Peoria,IL,309
Rockford,IL,779
Rockford,IL,815
Springfield,IL,217
Evansville,IN,812
Evansville,IN,930
Fort Wayne,IN,260
Hammond,IN,219
Indianapolis,IN,317
Indianapolis,IN,463
Muncie,IN,765
South Bend,IN,574
Hutchinson,KS,620
Overland Park,KS,913
Topeka,KS,785
Wichita,KS,316
Ashland,KY,606
Bowling Green,KY,270
Bowling Green,KY,364
Louisville,KY,502
Baton Rouge,LA,225
Houma,LA,985
Lafayette,LA,337
New Orleans,LA,504
Shreveport,LA,318
Boston,MA,339
